"","date","industry","location","monthly_amount"
"597",2014-07-01,"4","2",189466.682856316
"598",2014-08-01,"4","2",197126.114282
"599",2014-09-01,"4","2",206434.181438235
"600",2014-10-01,"4","2",217966.215745625
"601",2014-11-01,"4","2",187558.215118235
"602",2014-12-01,"4","2",231357.152789412
"603",2015-01-01,"4","2",168526.535407059
"604",2015-02-01,"4","2",188581.15287
"605",2015-03-01,"4","2",212504.951226471
"606",2015-04-01,"4","2",197229.509340588
"607",2015-05-01,"4","2",201013.193525263
"608",2015-06-01,"4","2",211027.06169
"609",2015-07-01,"4","2",206391.561992941
"610",2015-08-01,"4","2",212659.025072353
"611",2015-09-01,"4","2",215226.370336471
"612",2015-10-01,"4","2",211262.750928824
"613",2015-11-01,"4","2",208595.080748824
"614",2015-12-01,"4","2",266409.091688125
"615",2016-01-01,"4","2",197702.319187333
"616",2016-02-01,"4","2",206774.10852
"617",2016-03-01,"4","2",235711.46678875
"618",2016-04-01,"4","2",212936.231831875
"619",2016-05-01,"4","2",228383.788356875
"620",2016-06-01,"4","2",211184.097589375
"621",2016-07-01,"4","2",218927.061043333
"622",2016-08-01,"4","2",238721.203969333
"623",2016-09-01,"4","2",230841.533554
"624",2016-10-01,"4","2",241808.568487143
"625",2016-11-01,"4","2",209456.430103333
"626",2013-01-01,"5","2",355274.923266667
"627",2013-02-01,"5","2",339258.9426
"628",2013-03-01,"5","2",362916.938533333
"629",2013-04-01,"5","2",382905.7477
"630",2013-05-01,"5","2",349625.923375
"631",2013-06-01,"5","2",322275.99546
"632",2013-07-01,"5","2",406378.07126
"633",2013-08-01,"5","2",415961.54888
"634",2013-09-01,"5","2",344065.814315
"635",2013-10-01,"5","2",336580.37502
"636",2013-11-01,"5","2",292308.37265
